participante,email,senha_sugerida,link_convite,selecionado,ativado,observacoes
01,participante01@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=02f4cdae-b65c-4063-98cb-0674aadefe3e,,,
02,participante02@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=61dac2d2-bd9f-4b82-ad94-b76bff49eed4,,,
03,participante03@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=67fb4775-50be-4c0c-97fb-001dc68a52c0,,,
04,participante04@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=6f304ad7-e3ea-4dd1-bbd2-4f781f1e0133,,,
05,participante05@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=4704cef7-4b41-4139-a64e-4a8fa82517f8,,,
06,participante06@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=72c92d78-e9d8-4e46-ae36-4665d4701b89,,,
07,participante07@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=4ee80ed8-3c9f-410b-901f-0d2676b050d2,,,
08,participante08@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=fb0cad41-6da9-4d25-9563-34b9bc7deaf7,,,
09,participante09@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=e4cff28e-023b-4337-ad6a-89b40fdc29b7,,,
10,participante10@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=ee5367c5-83da-4e49-b04e-76cc415053af,,,
11,participante11@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=24b354ab-2b5a-4cdd-b2e1-eb5d2b91db10,,,
12,participante12@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=9f87e2be-f21f-404b-8a56-dd7edfe356e2,,,
13,participante13@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=1dd331a8-a5d0-4cf9-9afd-2c200c87d2f3,,,
14,participante14@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=6c934dcd-880a-47b4-bde3-3cb97d78d187,,,
15,participante15@example.com,Oficina123,http://suited-elf-unduly.ngrok-free.app/signup?inviterId=274fdae6-9b8c-4896-970a-280cd67c8af2&inviteeId=441a31b9-ef33-4f1f-a8df-003905abaf04,,,
